TK704O7YGSHGSCY.16020.0	You might have a job producing benzoyl-peroxide at home. 
TK704O7YGSHGSCY.50709.9	 Basically the oil acts as a cleanser to take all the filth from your skin, and the hot face cloth helps open up your pores.
TK704O7YGSHGSCY.50709.10	 You then use toner to help close up the pores again and remove any excess oil you may have missed and moisturiser ??? these are not necessary, but it is very good to use good natural toners and moisturisers no matter what you do with your face to wash it..Wit
TK704O7YGSHGSCY.50709.11	With OCM you have the benefit of something that gives you really nice moisturised healthy skin as well as deals with most skin problems, but it is also very cheap given as most oils can be bought just from your supermarket, it is natural so healthier for you, not tested on animals so it is ethical, but also it is totally
TK704O7YGSHGSCY.50709.12	customisable ??? so say if your skin starts to get dry you just change to a better oil or change the basic mix to include the more moisturising oil (EVOO), you can customise it daily, you can also add essential oils such as lavender or tea tree oil that can help deal with preventing spots and healing your skin..
TK704O7YGSHGSCY.50709.13	For more information;http://community.livejournal.com/naturalliving/437205.htmlhttp://www.purehenry.com/ocm.htmhttp://www.moogoo.com.au/category13_1.htm
TK704O7YGSHGSCY.50710.0	i dont knowi m very very sorry!!
TK704O7YGSHGSCY.50711.0	You visit your doctor!
TK704O7YGSHGSCY.50712.0	Garlic is supposed to be good for things like this. 
TK704O7YGSHGSCY.50712.1	The only problem is you have to eat cloves of it.
TK704O7YGSHGSCY.50713.0	my mum was a shop keeper at her hippy shop and i had acne she told me to have a bath and put Otes in a sock (must be clean) and use the sock and a washing towel it cleaned it right up
TK704O7YGSHGSCY.83802.0	viniger is great it works dab it on with cotton wool
