NZRNU8RXP18E2ER.35161.0	Just talk with your near&Dears! 
NZRNU8RXP18E2ER.44930.0	before you try pills try breathing techniques,they work wonders,this link might help.http://www.buzzle.com/articles/power-breathing-dissolves-stress.html
NZRNU8RXP18E2ER.44931.0	I know stress sucks,  I have tried many things, one thing that helpedme was exercise.  
NZRNU8RXP18E2ER.44931.1	I hate the idea of using pills for everything, but some times that may be any answer.  
NZRNU8RXP18E2ER.44931.2	Also I think that with age will help you control more of the stress and anxiety.  
NZRNU8RXP18E2ER.44931.3	Good luck  and I hope you find what you need to eliminate you problem.
NZRNU8RXP18E2ER.44932.0	anxiety is a individual trip, what works for me may not work for you even though it is a universal positive thing.1. love your self..no one is perfect,so cut your self a break2.
NZRNU8RXP18E2ER.44932.1	go hug a tree, sit under a tree and do  [RECHARGE- DISCHARGE]while sitting under the tree imagine ,light,sky energy, water energy ,ground energy,ground magnetic energy poring into you.
NZRNU8RXP18E2ER.44932.2	discharge--discharge all the anxiety, pain,worry,and problems ,out though your but,into the earth,as far as you can imagine them going ,like to china.
NZRNU8RXP18E2ER.44932.3	breath in [recharge]breath out [discharge]and do that until you start to feel GROUNDED3.
NZRNU8RXP18E2ER.44932.4	go into the wood ,is a standard good thing4.
NZRNU8RXP18E2ER.44932.5	bed--fill your room with spiritual pictures, burn some incense and light a candle, and stare at the flame ,imagine all the negative thoughts and emotions going in to the candle flame like a door way to a nother dimension.5.get some nice music and play it on the head phones befor sleep .
NZRNU8RXP18E2ER.44932.6	remember to blow out the candle we don t want to start a fire.6.find someone you trust and tell them your problems7.
NZRNU8RXP18E2ER.44932.7	ma be your a night person ,its 2 am here and I m not stressing8.
NZRNU8RXP18E2ER.44932.8	stress and anxiety is a natural part of life,no one is totally peace full.
NZRNU8RXP18E2ER.44932.9	so stop worring about things you cant change and change the things you can change.
NZRNU8RXP18E2ER.44932.10	you can e-mail me ,have a few books i can give you the title to__________________stay away from pills and doctors,unles they are holistic doctors ..many people are on anxiety medicin were i live ,and they are still messed up because they dont alter there behavior,behavioral modification.
NZRNU8RXP18E2ER.44932.11	ow and get a sheat of paper and write down all the good things that help and all the bad things that dont it is allway good to have a journal, so you dont do the bad things over and over again.
NZRNU8RXP18E2ER.87281.0	I relieve stress by avoiding TV.  
NZRNU8RXP18E2ER.87281.1	I use video tapes from salvation army. 
NZRNU8RXP18E2ER.87281.2	I avoid people who are winner-players . 
NZRNU8RXP18E2ER.87281.3	They don t need me and I don t need them. 
NZRNU8RXP18E2ER.87281.4	At church I look for the loners to be with not the winners. 
NZRNU8RXP18E2ER.87281.5	I try to sleep only when tired and get lots of sleep . 
NZRNU8RXP18E2ER.87281.6	Some mornings I awake too early and then I reward myself with MacDonald s . 
NZRNU8RXP18E2ER.87281.7	Your aura is not in sync with the main force of people and you need to favor your needs. 
NZRNU8RXP18E2ER.87281.8	Remember there are enough outsiders left to find one new Friend and some fun.
