1UL1IDV7VT5MNDE.9208.0	Listen to beetles advice..
1UL1IDV7VT5MNDE.32152.5	With a Grizzly your best bet is to back up to a large tree and climb it, keeping in mind it better be a pretty sturdy tree because they are powerful animals capable of knocking a smaller tree over. 
1UL1IDV7VT5MNDE.32152.6	They can not climb in general as thier claws are longer and not semi-retractable like a Black bears claws. 
1UL1IDV7VT5MNDE.32152.7	I truly disagree with the whole play dead approach because both Grizzlies and Black bears are oppurtunistic animals and will feed on carrion as well as kill and eat animals.although Black bears are much more scavenger like and tend not to kill to eat as much as they just look around for scraps. 
1UL1IDV7VT5MNDE.32152.8	Grizzlies on the other hand are very accomplished hunters and will take down large prey animals when they want. 
1UL1IDV7VT5MNDE.32152.9	Black bears are much less predatory and are less likely to chase after and try to kill a running animal but they can and running triggers that instinct. 
1UL1IDV7VT5MNDE.32152.10	So in all honesty your best bet is to stand your ground and back away.. don t run for either type of bear becausethat will make them want to chase you! 
1UL1IDV7VT5MNDE.32152.11	I have lived in the wilderness of Northern Canada for many years and I can honestly say that Black bears are not at all likely to attack you in most cases they run away as soon as they see or smell a human, the only places where Black bears are agressive is in parks with visitors that feed them, everywhere else the bears know that usually humans shoot them and so fear us. 
1UL1IDV7VT5MNDE.32152.12	Grizzlies are far more agressive as far as I have heard (having no direct experience of them) because they hunt much more and are far larger animals that truly do not fear much of anything at all..
1UL1IDV7VT5MNDE.50556.0	Great questionI have done alot of trekking through California, Montana and Wyoming and have met Black bears (which are quite dinky and placid but can go nuts if they have babies), and have been half an hour away from (allegedly) the mother of all grizzley s whilst on a trail through Glacier National park - so some other trekkerers told me..
1UL1IDV7VT5MNDE.50556.1	What the park wardens say is SING, SHOUT, MAKE NOISE.do it loudly, let them know you are there..they will get out of the way, it is a surprised bear wot will go mental and rip your little legs off..No fun permission: anything that will confuse them and stop them in their tracks..
1UL1IDV7VT5MNDE.50556.2	I have been told be an native american buddy that to keep a bottle of perfume in your pocket.throw it at the ground near your feet and make the place stink: they have good noses, them bears, and a mega concentrated dose of Britney Spears Obsessive Compulsive is gonna give em something to think about..
1UL1IDV7VT5MNDE.50556.3	Have you got a rape alarm? Def take that.you only need to distract them for a second then they will lose interest..Stick to the trails is the most important thing, and talk to everyone you see when trekking: make sure others know where you are.
1UL1IDV7VT5MNDE.50557.0	you stop your breath because bear are not eat a dead people.
1UL1IDV7VT5MNDE.50558.0	Bears attack people because the bears are startled (put a bell on your pack as you hike, they will hear you coming and go the other direction); they are protecting their young (never get between a sow and her cubs!)
1UL1IDV7VT5MNDE.50558.1	; they are territorial (back away slowly and do not make eye contact); they are hungry (do not keep food in your tent.  
1UL1IDV7VT5MNDE.50558.2	Also, they can be attracted to your scent, including during menstrual cycle).  
1UL1IDV7VT5MNDE.50558.3	If you are attacked, DO NOT run; play dead and pray.
